TestId,ID,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
cA5rIq4cmNwKMNewQ1qn,,8/25/21,10:38:59,x,,,Countermovement Jump,,,785.1211,0.5227,256.3121,-0.3038,8951.6129,-6234.0941,1894,1289.7581,164.275,1886,240.2177,1916.37,244.0859,2204,280.721,0.964,73.308,0.124,9.4297,0.227,17.2624,0.644,1.315,62.0251,256.6081,592.6405,318.6332,4.1372,-0.5409,1.8394,3.2026,3.2782,-622.5442,-7.7786,-783.0257,-9.7838,3257.6526,40.704,71.3733,5712.2006,-9.0138,858,1028,-9.7905,581.7419,708.0161,-2.4501,1075,1129,-3.8868,920.9427,995.4273,-10.0901,4024.1935,4927.4194,-17.8524,-7.446,740,-18038.5351,5794,1129.7554,737.9753,-11.9089,2552,3242,-16.8873,469.4851,660.2703,-28.8859,0.4897,0.3975,158.595,1.9816,0.775,434.0455,5.4233,3.2063
Nh1xLdeBe0fe3uOQLPqp,,8/25/21,10:38:48,x,,,Countermovement Jump,,,784.7197,0.5631,265.8702,-0.0965,7892.4731,-15746.8389,1519,1089.4624,138.8346,1509,192.298,1854.1044,236.276,2194,279.5903,0.571,62.5411,0.093,10.1862,0.249,27.2727,0.627,0.913,27.9788,266.2755,561.059,294.2543,9.5171,-0.249,1.7908,3.3237,3.3969,-249.512,-3.1192,-308.8221,-3.8607,3184.8407,39.8146,75.4807,6037.8393,-10.0066,679,830,-13.7742,469.6989,619.7634,0.0912,1098,1096,-1.6787,911.49,942.6145,-6.812,3677.4194,4215.0538,-24.2641,-3.2651,1030,6067.5827,4977,1024.4602,634.2392,-27.7075,1799,3178,-9.6822,462.635,561.8252,-17.6653,0.6867,0.6167,100.173,1.2523,0.3498,460.886,5.7617,3.3288
haz0MOTYjaRRaOlxI9Kl,,8/25/21,10:38:34,x,,,Countermovement Jump,,,782.5175,0.4803,244.8701,-0.269,5675.6757,-6029.8516,1622,1147.3041,146.617,1615,206.3852,1897.6636,242.5075,2264,289.3226,0.68,64.8855,0.148,14.1221,0.22,20.9924,0.622,1.048,53.5724,245.2737,585.2475,298.8461,4.5784,-0.4765,1.6946,3.0698,3.1414,-496.7131,-6.227,-621.2203,-7.7879,3039.7611,38.1078,70.8319,5650.0711,-13.808,696,919,-16.4622,479.2162,668.0878,-2.7385,1101,1163,-4.5721,905.45,992.2136,-15.9524,2385.1351,3290.5405,-28.307,-8.6994,690,-12866.0993,5532,1146.3928,706.949,-14.1721,2374,3158,9.8114,629.4348,516.958,17.8666,0.5935,0.4583,168.6025,2.1137,0.6716,416.645,5.2233,3.0749
qgiKtNHXbKHba1lWQUdT,,8/25/21,8:40:15,xx,,,Countermovement Jump,,,1036.6306,0.3266,267.4983,-0.3066,5978.1421,-6942.133,2128,1744.2514,168.2616,2138,206.2451,1981.0669,191.1063,2405,232.0016,0.36,43.5308,0.183,22.1282,0.284,34.341,0.508,0.827,128.9492,268.174,879.1565,397.1233,2.0797,-0.7683,1.4484,2.5314,2.6601,-1231.4814,-11.6539,-1688.8852,-15.9825,2698.1733,25.5338,49.2438,5203.6373,1.4032,1084,1054,2.0232,889.7705,854.4809,-2.869,1168,1237,-2.3207,967.5458,1013.5211,1.8282,3043.7158,2934.4262,3.9662,-4.5419,540,-18399.1189,4177,1523.1519,402.9401,-5.2909,1978,2199,-4.6288,726.3241,796.8278,-8.8233,0.6143,0.3949,317.616,3.0057,1.2203,561.5405,5.3141,2.5378
4DCe4Iw4LOlA2bHXdoKt,,8/25/21,8:39:46,xx,,,Countermovement Jump,,,1035.8839,0.3343,270.4505,-0.3294,6455.0265,-6845.5921,2255,1664.6667,160.7001,2260,218.1712,1956.2305,188.8465,2293,221.3569,0.402,45.3725,0.189,21.3318,0.295,33.2957,0.517,0.886,118.2298,271.3946,888.9205,389.6245,2.2955,-0.7846,1.4573,2.5612,2.6753,-1169.8002,-11.0782,-1533.4372,-14.5219,2688.0823,25.4566,48.578,5129.5747,-2.4779,1102,1158,-5.9004,783.2222,881.4444,-0.6542,1139,1154,-0.3625,974.5695,981.661,12.2951,3624.3386,2830.6878,-11.12,-0.7185,810,-26581.208,5349,1369.9086,516.3706,4.6177,2798,2551,29.5355,887.2593,482.6494,45.6087,0.5835,0.3774,312.976,2.9639,1.1197,575.9445,5.4543,2.5702
YurbIecCLhTMq65vBo1W,,8/25/21,8:39:36,xx,,,Countermovement Jump,,,1035.2543,0.347,275.343,-0.3211,5463.5417,-6492.8737,2085,1698.0156,164.0192,2179,210.4797,1986.4227,191.8778,2327,224.7757,0.389,44.6101,0.192,22.0183,0.291,33.3716,0.532,0.872,126.7229,276.7588,901.439,403.4817,2.184,-0.8079,1.4629,2.6091,2.7158,-1241.8952,-11.7681,-1622.7434,-15.377,2753.3891,26.0909,50.0567,5282.5079,1.6062,1107,1072,-1.0978,839.6875,858.3281,-1.2462,1149,1178,2.1,1014.0687,972.354,16.1106,3171.875,2291.6667,-2.1896,4.1036,960,-21271.2321,5019,1325.2458,484.8084,-21.8171,1962,3057,6.199,703.699,621.5469,11.678,0.6101,0.3979,324.4565,3.0745,1.2008,576.9825,5.4674,2.6225
sG90dzLcIJlJVtkyav18,,8/25/21,10:20:27,xxx,,,Countermovement Jump,,,1196.7618,0.2888,290.3951,-0.286,8380.117,-9198.3208,2631,1771.6374,148.0359,2625,219.3419,2303.9163,192.5125,2739,228.8676,0.47,51.9912,0.171,18.9159,0.263,29.0929,0.484,0.904,97.589,291.0459,905.636,388.6349,2.9824,-0.576,1.512,2.3804,2.5262,-921.9149,-7.557,-1120.8414,-9.1877,3129.0266,25.649,44.157,5386.8953,1.3333,1330,1295,1.5369,899.4327,872.2047,1.5699,1391,1348,1.6801,1171.3118,1132.6046,1.0468,4233.9181,4146.1988,3.0285,3.3017,740,-16408.7901,5063,1593.6108,423.0583,-8.1967,2324,2739,6.3293,847.2378,746.373,11.8981,0.5354,0.3195,301.0385,2.4676,0.7999,604.5975,4.956,2.3857
x6DhIjrxSBr6qkqjEIZR,,8/25/21,10:20:10,xxx,,,Countermovement Jump,,,1196.3153,0.2987,295.1874,-0.2664,9236.3636,-10203.5581,2719,1794.6061,150.0111,2714,226.8633,2374.5873,198.4918,2848,238.0643,0.41,49.5768,0.165,19.9516,0.252,30.4716,0.483,0.827,97.9598,296.7449,891.1755,394.7046,3.0293,-0.5958,1.542,2.4206,2.5682,-960.5195,-7.8764,-1136.1036,-9.3163,3268.0682,26.7987,45.7071,5573.916,2.3581,1389,1325,6.0167,951.2909,843.3152,2.0365,1453,1395,1.7176,1207.6865,1166.9008,-4.0682,4430.303,4806.0606,11.3638,3.3709,1050,-26526.0694,6518,1470.261,544.8396,11.8748,3646,2872,9.1386,802.3114,667.9495,16.7472,0.584,0.3611,294.1555,2.4121,0.8033,597.02,4.8957,2.4334
fC6We1WNUFddiscPLVcI,,8/25/21,10:20:00,xxx,,,Countermovement Jump,,,1197.3473,0.2776,284.8205,-0.2624,7957.3171,-9538.8752,2502,1627.0427,135.8873,2493,208.2103,2307.3643,192.7063,2767,231.0942,0.586,58.1349,0.164,16.2698,0.258,25.5952,0.471,1.008,69.8224,286.3137,859.022,356.1361,4.1006,-0.4448,1.499,2.3336,2.5102,-660.0165,-5.4076,-772.784,-6.3315,3088.2406,25.3023,44.9493,5486.232,6.2174,1324,1169,9.7907,893.1707,733.872,2.06,1412,1355,0.7038,1161.8023,1145.562,2.2222,4067.0732,3890.2439,17.8606,1.3855,760,-19619.5448,6119,1572.6382,511.0464,-12.4367,2679,3440,-23.8991,598.3961,974.2421,-38.6062,0.4673,0.2753,264.99,2.1711,0.5721,594.032,4.867,2.3458
9PDjYQdhU8mxCCCT3yop,Isabella,8/25/21,11:04:03,a,,,Countermovement Jump,,,1304.7247,0.2563,298.1927,-0.2304,11821.6561,-13711.8935,3158,2096.7643,160.7055,3147,241.2003,2571.3051,197.0764,3291,252.2371,0.495,55.7432,0.157,17.6802,0.236,26.5766,0.467,0.888,123.4304,298.6262,932.204,422.0566,2.4194,-0.6665,1.5356,2.2421,2.4574,-1240.2983,-9.3256,-1554.2759,-11.6863,3426.0859,25.7601,44.7034,5945.5317,9.1198,1717,1430,6.05,1111.8089,984.9554,7.5661,1770,1521,4.8333,1347.7924,1223.5127,18.4267,7000,4821.6561,11.42,9.2049,840,-98131.8975,9648,1666.0679,739.4663,-2.2803,4714,4934,1.4299,844.9452,821.1226,2.8199,0.5259,0.2885,326.9675,2.4584,0.9281,605.2365,4.5507,2.2453
