date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-04-08,77,70,73,100,95,83,67,63,25410,28080,2670,5580,9660,10170,22,90,180,13260,2022-04-08T00:31:55-04:00,2022-04-08T08:19:55-04:00,55.42,50.0,60,-0.06,0.02,14.875,95,73,100,95,100,100,1091,3408,16867,18367,34860,24000,19980,5100,1260,1200,1.84375,0,86,76,None,None,None,100,95,None,86
2022-04-09,69,73,79,84,62,76,62,32,26070,34140,8070,6000,14580,5490,24,76,1710,18480,2022-04-09T00:06:23-04:00,2022-04-09T09:35:23-04:00,53.93,48.0,65,-0.17,0.01,14.75,87,54,95,78,100,99,244,2480,4946,3992,42840,30660,10140,900,0,1860,1.34375,1,76,69,76,71,53,97,95,None,83
2022-04-10,71,68,58,100,93,73,72,36,24810,28020,3210,4410,10980,9420,18,89,330,13740,2022-04-10T01:17:10-04:00,2022-04-10T09:04:10-04:00,52.69,47.0,62,-0.17,-0.01,15,93,89,100,78,100,100,1692,4005,24238,28479,27300,31980,13680,10080,3360,0,2.125,0,86,72,73,100,99,100,92,None,100
2022-04-11,80,79,68,99,90,76,83,70,27750,31500,3750,5130,14100,8520,25,88,570,15720,2022-04-10T23:36:09-04:00,2022-04-11T08:21:09-04:00,51.74,48.0,72,-0.2,-0.02,15,96,84,100,95,100,100,2304,4604,22086,35298,28740,30780,12600,4380,8220,1680,2.4375,0,81,85,77,42,74,99,99,None,100
2022-04-12,82,79,70,100,79,82,99,69,27630,33480,5850,5310,12990,9330,21,83,900,15960,2022-04-11T23:34:52-04:00,2022-04-12T08:52:52-04:00,52.28,46.0,65,0.05,0.06,14.5,94,73,100,95,100,100,1649,3913,16257,25921,35280,28680,12000,3540,5280,1620,2.09375,0,74,88,79,1,55,100,98,None,100
2022-04-13,77,72,52,100,90,74,91,70,25800,29220,3420,3990,11040,10770,23,88,750,14640,2022-04-12T23:54:28-04:00,2022-04-13T08:01:28-04:00,52.75,48.0,64,-0.17,0.06,14.75,90,68,95,95,100,100,1173,3408,14508,19083,35940,29280,13080,3960,3000,1140,1.84375,1,70,80,78,13,39,99,97,None,81
2022-04-14,84,86,96,100,93,81,67,57,29640,33300,3660,7380,13470,8790,18,89,210,15930,2022-04-13T23:59:54-04:00,2022-04-14T09:14:54-04:00,53.07,49.0,63,0.12,0.14,14.875,89,75,95,100,100,100,1201,3466,16040,19271,33360,30780,14700,4740,2820,0,1.875,1,81,92,84,52,48,94,89,86,100
2022-04-15,68,60,52,100,83,72,78,48,22800,26820,4020,4020,9600,9180,18,85,420,13410,2022-04-15T00:59:49-04:00,2022-04-15T08:26:49-04:00,52.33,47.0,63,-0.06,0.14,14.75,82,58,78,100,100,100,1223,3511,15222,19772,39420,24600,13740,4140,3180,1320,1.90625,2,76,63,76,58,53,100,100,86,82
2022-04-16,71,71,72,100,81,73,70,28,25560,30540,4980,5430,7740,12390,20,84,240,13950,2022-04-16T01:29:02-04:00,2022-04-16T09:58:02-04:00,54.89,49.0,57,-0.18,0.07,14.625,80,57,78,100,100,100,229,2433,4793,4093,42120,30540,11580,480,0,1680,1.3125,2,73,69,78,48,58,98,88,85,63
2022-04-17,73,79,66,100,86,76,64,23,27660,32100,4440,5010,13080,9570,20,86,120,15720,2022-04-17T01:14:25-04:00,2022-04-17T10:09:25-04:00,53.07,48.0,63,0.21,0.28,14.375,93,63,100,95,100,100,319,2544,6116,5618,38640,31740,12780,1440,0,1800,1.375,0,85,73,79,100,73,85,96,86,100
2022-04-18,65,54,25,99,76,72,99,52,21180,25740,4560,1980,10770,8430,19,82,900,13320,2022-04-18T00:52:04-04:00,2022-04-18T08:01:04-04:00,51.52,47.0,65,0.11,0.33,14.125,97,85,100,95,100,100,1785,4042,21436,29457,28680,30840,12180,8640,4740,1320,2.15625,0,80,58,71,100,77,94,100,86,78
2022-04-19,77,69,56,100,88,69,83,100,25020,28680,3660,4230,11970,8820,21,87,1260,14730,2022-04-18T22:43:13-04:00,2022-04-19T06:41:13-04:00,55.09,49.0,55,0.06,0.26,13.75,93,61,100,95,100,100,657,2901,8112,11197,40260,24000,8760,5160,300,7920,1.5625,0,69,80,70,26,64,99,84,83,59
2022-04-20,81,77,68,100,93,81,89,70,27210,30540,3330,5130,12180,9900,23,89,690,14730,2022-04-19T23:52:04-04:00,2022-04-20T08:21:04-04:00,53.33,47.0,58,0.04,0.2,13.5,92,65,95,95,100,100,1104,3329,13781,17762,37980,29220,11880,2820,3240,1260,1.78125,1,85,87,72,94,72,100,100,84,100
2022-04-21,70,53,48,96,95,71,72,93,20790,23100,2310,3690,10530,6570,23,90,300,11190,2022-04-21T00:06:13-04:00,2022-04-21T06:31:13-04:00,58.92,53.0,48,0.32,0.29,14.25,92,76,100,95,100,100,606,2765,6626,10680,11760,16620,5460,5520,0,47040,1.5,0,59,66,64,49,70,77,31,78,52
2022-04-29,69,64,61,100,81,73,78,41,23700,28200,4500,4650,9210,9840,19,84,420,13440,2022-04-29T01:12:56-04:00,2022-04-29T09:02:56-04:00,51.84,48.0,66,-0.28,None,14.5,78,71,100,43,71,100,1383,3651,16312,22467,33420,29580,10980,6600,3300,2520,1.96875,0,77,64,None,49,None,94,93,None,100
2022-04-30,70,69,48,100,93,76,70,37,24990,28140,3150,3630,10980,10380,23,89,270,13890,2022-04-30T01:12:04-04:00,2022-04-30T09:01:04-04:00,52.63,48.0,65,-0.14,0.0,14.5,83,63,95,60,96,100,506,2765,8535,8763,39120,30420,12600,2760,480,1020,1.5,1,78,66,None,49,None,99,93,None,100
2022-05-01,64,41,17,100,81,77,86,95,17880,21180,3300,1320,6810,9750,15,84,1170,10260,2022-05-01T00:17:21-04:00,2022-05-01T06:10:21-04:00,50.34,46.0,74,-0.02,0.03,14.875,90,73,100,78,100,100,968,3264,14867,18267,33120,27180,20100,5940,60,0,1.75,0,69,54,42,96,75,100,97,91,48
2022-05-02,72,63,28,100,79,78,89,81,23610,28380,4770,2220,11610,9780,21,83,1140,13320,2022-05-01T23:54:04-04:00,2022-05-02T07:47:04-04:00,51.23,47.0,76,0.16,0.15,14.625,92,72,78,95,100,100,1941,4210,15101,30058,32880,29580,10680,2880,7440,2940,2.28125,2,76,70,44,99,72,93,91,93,100
2022-05-03,72,58,27,100,97,73,86,95,22260,24120,1860,2160,7260,12840,23,92,600,12000,2022-05-02T23:48:21-04:00,2022-05-03T06:30:21-04:00,52.59,48.0,67,-0.19,0.1,14,93,60,95,100,100,100,1596,3840,12147,24409,40020,25200,9420,2340,5700,3720,2.0625,1,62,70,43,1,60,99,100,93,61
2022-05-04,78,71,74,100,79,84,72,77,25740,31080,5340,5610,10140,9990,19,83,330,14040,2022-05-03T23:49:31-04:00,2022-05-04T08:27:31-04:00,53.47,48.0,58,0.11,0.12,14.625,88,63,78,100,100,100,1390,3642,17255,22530,39540,27000,9480,4320,5040,1020,1.96875,2,67,81,49,10,57,96,81,91,100
2022-05-05,68,46,44,97,81,74,97,92,18930,22560,3630,3390,7980,7560,19,84,870,11160,2022-05-05T00:09:29-04:00,2022-05-05T06:25:29-04:00,54.59,50.0,54,-0.09,0.08,14.5,85,55,78,100,100,100,1205,3527,13016,20210,41580,18060,14880,8040,1620,2220,1.90625,2,59,61,42,19,56,100,71,88,78
2022-05-06,68,64,50,100,90,80,75,26,23880,27060,3180,3810,10230,9840,20,88,390,12750,2022-05-06T01:54:53-04:00,2022-05-06T09:25:53-04:00,54.03,50.0,55,0.16,0.17,14.875,89,89,95,100,100,100,1649,3935,17479,28023,25980,31980,12660,8700,4500,2580,2.125,1,66,61,44,67,58,91,71,86,100
2022-05-07,74,64,47,100,93,73,94,72,23730,26640,2910,3600,8940,11190,16,89,780,13560,2022-05-07T00:08:08-04:00,2022-05-07T07:32:08-04:00,52.38,48.0,61,-0.13,0.11,14.75,76,85,95,100,100,100,1227,3542,19992,23348,28020,28080,18420,11100,0,780,1.90625,1,68,73,47,36,54,100,91,85,100
2022-05-08,66,48,28,100,86,72,78,92,19530,22620,3090,2190,8130,9210,24,86,420,10470,2022-05-08T00:20:30-04:00,2022-05-08T06:37:30-04:00,51.01,47.0,66,-0.13,0.04,14.625,83,75,100,100,100,100,657,2940,12550,12293,32880,26520,22980,2520,0,1500,1.59375,0,71,58,43,100,54,100,100,86,82
2022-05-09,77,67,67,100,90,74,91,74,24660,28080,3420,5070,7320,12270,18,88,720,13470,2022-05-09T00:06:52-04:00,2022-05-09T07:54:52-04:00,49.8,44.0,74,-0.01,0.02,14.375,97,86,100,100,100,100,2263,4553,21908,36058,27840,28680,13920,7200,7080,1680,2.4375,0,77,79,46,100,62,100,93,88,100
2022-05-10,77,79,76,100,96,72,64,49,27660,30480,2820,5760,9000,12900,19,91,120,14790,2022-05-10T00:33:15-04:00,2022-05-10T09:01:15-04:00,52.17,48.0,58,-0.13,0.01,14.75,96,77,100,100,100,100,994,3237,15788,17083,29580,34200,14640,5220,1980,780,1.75,0,67,79,53,1,53,100,90,86,100
2022-05-11,79,77,76,100,93,74,83,57,27240,30540,3300,5790,9330,12120,19,89,1230,15510,2022-05-11T00:05:22-04:00,2022-05-11T08:34:22-04:00,52.53,48.0,65,-0.16,-0.02,14.75,95,77,100,100,100,100,1035,3320,14886,17552,32100,29580,18420,3780,2520,0,1.78125,0,77,83,59,78,55,99,90,87,100
2022-05-12,72,63,39,100,79,78,86,76,23520,28320,4800,3030,11130,9360,21,83,630,13080,2022-05-12T00:07:57-04:00,2022-05-12T07:59:57-04:00,52.93,48.0,66,-0.14,-0.05,14.75,94,83,100,100,100,100,1300,3601,14655,23671,30600,24780,13980,14700,0,2340,1.9375,0,74,69,59,67,58,100,90,87,100
2022-05-13,75,62,76,100,76,86,91,63,23280,28260,4980,5760,7920,9600,18,82,1080,14130,2022-05-13T00:16:08-04:00,2022-05-13T08:07:08-04:00,51.77,47.0,59,0.31,0.12,14.5,93,97,100,100,100,100,2113,4456,24684,38057,21120,26820,15960,21060,1440,0,2.40625,0,80,75,59,98,58,79,100,86,100
2022-05-14,78,83,81,99,88,72,72,43,28680,32940,4260,6090,13950,8640,26,87,1470,16140,2022-05-14T00:23:30-04:00,2022-05-14T09:32:30-04:00,52.22,48.0,60,0.09,0.22,14.625,86,64,100,100,100,100,381,2614,7642,6732,38040,30780,16440,1080,60,0,1.40625,0,77,81,66,74,49,97,89,86,100
2022-05-15,71,70,58,100,74,71,94,36,25320,31080,5760,4440,11790,9090,24,81,780,15600,2022-05-15T00:46:11-04:00,2022-05-15T09:24:11-04:00,51.65,47.0,69,0.32,0.31,14.875,96,70,100,100,100,100,582,2837,10237,10704,32520,30720,16680,3180,60,3240,1.53125,0,81,67,68,100,57,77,99,87,100
2022-05-16,74,72,48,100,93,74,78,54,25950,29040,3090,3630,12900,9420,29,89,420,14220,2022-05-16T00:32:33-04:00,2022-05-16T08:36:33-04:00,51.0,48.0,62,0.11,0.26,14.375,96,71,100,100,100,100,1002,3300,14913,17056,35520,27720,16680,4320,2160,0,1.78125,0,81,73,70,100,64,95,89,86,100
2022-05-17,65,55,44,100,55,70,91,64,21480,29460,7980,3360,8820,9300,23,73,1080,13620,2022-05-17T00:22:55-04:00,2022-05-17T08:33:55-04:00,50.89,47.0,82,-0.38,0.03,14.125,97,78,100,100,100,100,528,2806,10225,9519,30060,31200,20580,2340,60,2160,1.53125,0,75,54,65,68,67,92,100,90,90
2022-05-18,72,65,37,99,95,66,75,89,24120,26820,2700,2880,12780,8460,22,90,360,13440,2022-05-17T23:37:16-04:00,2022-05-18T07:04:16-04:00,51.24,47.0,74,-0.07,-0.06,14.25,93,55,95,100,100,100,649,2951,11225,11963,42600,20940,18900,3480,0,480,1.59375,1,79,69,64,100,74,100,88,91,88
2022-05-19,62,39,27,100,74,86,83,73,17250,21360,4110,2100,3120,12030,12,81,540,9600,2022-05-19T01:13:16-04:00,2022-05-19T07:09:16-04:00,51.48,47.0,72,-0.44,-0.18,13.5,96,84,100,95,100,98,427,2666,8670,7677,28980,31080,20580,960,0,4800,1.4375,0,74,48,54,97,79,90,98,92,71
2022-05-20,90,91,96,100,93,79,94,81,30960,34860,3900,7650,11790,11520,17,89,1020,17100,2022-05-19T22:50:49-04:00,2022-05-20T08:31:49-04:00,54.8,49.0,56,0.16,-0.03,13.5,88,69,95,78,96,96,523,2782,10653,9725,37020,26880,21060,1380,60,0,1.53125,1,85,100,63,100,86,91,78,90,100
2022-05-21,68,58,39,100,86,77,75,63,22320,26100,3780,2970,8100,11250,24,86,390,12660,2022-05-21T00:40:56-04:00,2022-05-21T07:55:56-04:00,57.99,53.0,51,-0.04,0.04,13.875,None,None,None,None,None,None,415,2625,8509,7706,38760,26340,14460,1800,0,5040,1.4375,3,68,60,59,100,90,100,38,87,60
